id,card_number,card_name,card_alt,カードタイプ,タグ,レアリティ,色,HP,LIFE,Bloomレベル,バトンタッチ,収録商品,能力テキスト,arts,oshi_skill,sp_oshi_skill,keyword,extra,gift,illustrator,image_url,local_images,release_date
1,hSD01-001,ときのそら,ときのそら,推しホロメン,,OSR,白,,5,,,スタートデッキ「ときのそら＆AZKi」,,,[ホロパワー：-1] リプレイスメント [ターンに１回]自分のステージのエール１枚を、自分のホロメンに付け替える。,[ホロパワー：-2] じゃあ敵だね？ [ゲームに１回]相手のセンターホロメンとバックホロメン１人を交代させる。その後、このターンの間、自分の白センターホロメンのアーツ+50。,,,,でいりー,/wp-content/images/cardlist/hSD01/hSD01-001_OSR.png,hSD01-001_OSR.png,
2,hSD01-002,AZKi,AZKi,推しホロメン,,OSR,緑,,6,,,スタートデッキ「ときのそら＆AZKi」,,,[ホロパワー：-3] 左手に地図 [ターンに１回]自分のホロメンの能力でサイコロを振る時に使える：サイコロの目の数１つを宣言し、次に出る目の数を宣言した目として扱う。,[ホロパワー：-3] 右手にマイク [ゲームに１回]自分のアーカイブのエールを自分の緑ホロメン１人に好きな枚数送る。,,,,Hachi,/wp-content/images/cardlist/hSD01/hSD01-002_OSR.png,hSD01-002_OSR.png,
3,hSD01-003,ときのそら,ときのそら,ホロメン,#JP #0期生 #歌,C,白,60,,Debut,◇,スタートデッキ「ときのそら＆AZKi」,,[◇](๑╹ᆺ╹)ぬんぬん　30,,,,,,はこに,/wp-content/images/cardlist/hSD01/hSD01-003_C.png,hSD01-003_C.png,
4,hSD01-004,ときのそら,ときのそら,ホロメン,#JP #0期生 #歌,R,白,50,,Debut,◇,スタートデッキ「ときのそら＆AZKi」,,[◇]オンステージ！　20,,,"レッツダンス！
このターンの間、自分のセンターホロメンのアーツ+20。",,,りんけてん,/wp-content/images/cardlist/hSD01/hSD01-004_R.png,hSD01-004_P.png;hSD01-004_R.png,
5,hSD01-005,ときのそら,ときのそら,ホロメン,#JP #0期生 #歌,U,白,150,,1st,◇,スタートデッキ「ときのそら＆AZKi」,,[白]ぬんぬんしよう　30 | [白+◇]あなたの心は…くもりのち晴れ！　50,,,,,,おるだん,/wp-content/images/cardlist/hSD01/hSD01-005_U.png,hSD01-005_U.png,
6,hSD01-006,ときのそら,ときのそら,Buzzホロメン,#JP #0期生 #歌,RR,白,240,,1st,◇/◇,スタートデッキ「ときのそら＆AZKi」,,[白+◇]ドリームライブ　50 | [白+緑+◇]SorAZ シンパシー　60+,,,,このホロメンがダウンした時、自分のライフ-２,,I☆LA,/wp-content/images/cardlist/hSD01/hSD01-006_RR.png,hSD01-006_P.png;hSD01-006_RR.png,
7,hSD01-007,IRyS,IRyS,ホロメン,#EN #Promise #歌,C,白,50,,Debut,◇,スタートデッキ「ときのそら＆AZKi」,,[白]希望の化身　20,,,"HOPE
自分のホロパワーを見る。その中から１枚を公開し、手札に加える。そして自分の手札１枚をホロパワーにする。",,,,/wp-content/images/cardlist/hSD01/hSD01-007_C.png,hSD01-007_C.png;hSD01-007_P.png,
8,hSD01-008,AZKi,AZKi,ホロメン,#JP #0期生 #歌,C,緑,70,,Debut,◇,スタートデッキ「ときのそら＆AZKi」,,[◇]がんばれてえらい！　20,,,,,,はこに,/wp-content/images/cardlist/hSD01/hSD01-008_C.png,hSD01-008_C.png,
9,hSD01-009,AZKi,AZKi,ホロメン,#JP #0期生 #歌,R,緑,60,,Debut,◇,スタートデッキ「ときのそら＆AZKi」,,[◇]ほいでほいで　10,,,"広がる地図
サイコロを１回振れる：４以下の時、自分のエールデッキの上から１枚を、自分のバックホロメンに送る。１の時、さらに、このホロメンをバックポジションに移動できる。",,,ヒノ,/wp-content/images/cardlist/hSD01/hSD01-009_R.png,hSD01-009_P.png;hSD01-009_R.png,
10,hSD01-010,AZKi,AZKi,ホロメン,#JP #0期生 #歌,U,緑,160,,1st,◇,スタートデッキ「ときのそら＆AZKi」,,[緑+◇]きみとあてのない旅　50,,,,,,松うに,/wp-content/images/cardlist/hSD01/hSD01-010_U.png,hSD01-010_U.png,
